round_dir	round	rendered_at	note
round8c-merge	8c	2026-09-15	fn-34 integration after merging fn-45 and fn-46: the beech is fn-45's final round-6 geometry with fn-46's young-shoot colour (0.14/0.13/0.085 linear below 4 mm radius); the birch is round 7's geometry with fn-46's round-8 colours, byte-identical to round8-fn46's stills. Matched stills at the 1440 rig, first fixed seed; pairs on disk under the ignored measure/pairs-merge46/, recorded here by sha256
round9-fn51	9	2026-09-15	fn-51: a hanging shoot may fall below the crown's lower surface, a share of the way down to a clearance (skeleton.twigs.curtainDrop, curtainClearance); the silver birch states the whole drop down to a clearance at its own crown base, 1.8 m, chosen after the host's visual QA over a 1 m clearance that curtained the stems; matched stills rendered at the first fixed seed at 1440 tall; pairs on disk under the ignored measure/pairs-fn51/, recorded here by sha256; the round-8b table (the birch at a drop of 0) re-rendered on the same rig is under measure/pairs-fn51base/, and the 1 m candidate under measure/pairs-fn51a/
round9b-fn48	9b	2026-09-15	fn-48 on the fn-34 integration tip: the silver birch's clump leans unequally, the whole lean spread with 28 degrees of lean and no divergence, so its first stem stands upright and its second leans out of the pair on the seed's own bearing; every other birch row is round 8c's. Matched stills at the 1440 rig, first fixed seed; pairs on disk under the ignored measure/pairs-fn48/, recorded here by sha256
round10-fn52	10	2026-09-15	fn-52 on the fn-34 integration tip (fn-38, fn-44, fn-45, fn-46 and fn-49 merged): the canopy rows light each leaf as part of its crown. The beech states canopyNormal 0.8, lightWrap 0.4, diffuseTransmission 1.0, leafSheen 0.08, crownShade 0.15; the birch 0.8, 0.5, 1.0, 0.06, 0.2. No geometry moved: the four bare and close-up stills are byte-identical to round 8c's. Matched stills at the 1440 rig, first fixed seed; pairs on disk under the ignored measure/pairs-fn52/, recorded here by sha256
round11-beech	11	2026-09-15	fn-34 integration round 11, the beech alone: limbs leave at 65 degrees instead of 48, side branches half their limb's length instead of three fifths, the twig layer starting on wood under 0.17 of the trunk's radius instead of a tenth. Matched stills at the 1440 rig, first fixed seed; pairs on disk under the ignored measure/pairs-round11/, recorded here by sha256. The B-BASE close-up frames no trunk: the matched camera aims at the bounds' centre, which this crown puts 1.0 m off the trunk
round12-fn50	12	2026-09-15	fn-50, the beech alone: short shoots carry most of its leaves, five to a spur every 2.5 cm of wood under 0.35 of the trunk's radius, where the slender wood's own row of leaves stood; its twigs stand out at 50 degrees turned by the golden angle with a leaf every 5 cm, where round 11's were two-ranked at 32 with one every 2; its leaves lean 0.1 along their shoots instead of 0.45 and scatter 45 degrees instead of 30. Habit, envelope and radius rows as round 11 set them. Matched stills at the 1440 rig, first fixed seed, on the close-up camera fix; pairs on disk under the ignored measure/pairs-fn50/, recorded here by sha256.
round13-birch	13	2026-09-15	fn-34 integration after merging fn-51 (with fn-47) and fn-48 over round 8c: the silver birch with every spec but lighting - round 7's base, fn-47's varied strands and outline, fn-51's drop below the crown to a 1.8 m clearance, fn-48's unequal clump, fn-46's colours; no row changed after the host's visual QA. Matched stills at the 1440 rig, first fixed seed; pairs on disk under the ignored measure/pairs-round13/, recorded here by sha256
round14-merge	14	2026-09-15	fn-34 integration after merging master (fn-32's bark plates, PR #27) and fn-36 (the fn-40 spec): the bark baseline fn-40 starts from. The beech and the birch state fn-32's sixteen plate rows at their neutral, so every still is byte-identical to the branch before the merge (checked by rendering the beech at 1df852f8); B-BASE differs from round 11's record only by 3349640f's close-up aim. Matched stills at the 1440 rig, first fixed seed; pairs on disk under the ignored measure/pairs-round14/, recorded here by sha256
round15-birch	15	2026-09-15	fn-34 round 15 on the integration branch after round 13: the silver birch's trunk radius from 0.01 to 0.014 of the height and its curtain drop from 1 to 0.6, on the owner's round-13 notes (stems too thin, a straight line at the bottom of the leaves); no other row moved. Matched stills at the 1440 rig, first fixed seed, rebuilt and captured from the final table and byte-identical to the protocol-round15 capture; pairs on disk under the ignored measure/pairs-round15/, recorded here by sha256
round15b-fn48	15b	2026-09-15	fn-48.2 over round 13: the silver birch's clump parts at half the bole (stem_fork_height 0.5, the fork node at 0.96 m) instead of at the ground, and its twig layer measures the stems above the fork; no other birch row changed. Matched stills at the 1440 rig, first fixed seed; pairs on disk under the ignored measure/pairs-fn48b/, recorded here by sha256
round16-fn40	16	2026-09-15	fn-40 over the fn-34 integration tip d721fa16 with the owner's choice landed: the lobed lichen (lichen-lobed.patch) and the trial's beech and birch rows, with bark roughness at 0.95 on both. Matched stills at the 1440 rig, first fixed seed; pairs under the ignored measure/pairs-fn40/, recorded here by sha256. The owner chose B over A on the two close-ups; the other four pairs were measured and not viewed.
round17-merge	17	2026-09-15	fn-34 integration after merging fn-52 (canopy lighting) and fn-50 (short shoots) over round 14: the beech is fn-50's round-12 table under fn-52's canopy rows, the birch round 13's geometry under fn-52's canopy rows. No row changed after the host's visual QA. B-BARE and B-BASE are byte-identical to round12-fn50's stills, S-BARE and S-BARK to round14-merge's. Matched stills at the 1440 rig, first fixed seed; pairs on disk under the ignored measure/pairs-round17/, recorded here by sha256
round18-beech	18	2026-09-15	fn-34 round 18, the beech's value table alone over round 17 (968c5e06): clusters of eight leaves fanned a half circle every 4 cm, held 20 cm off the wood; leaves scattered 80 degrees; a lighter, greyer blade (front 0.08/0.15/0.05, back 0.21/0.28/0.15); crown shade 0.1. B-BARE and B-BASE draw round 17's wood (the skeleton hash holds); their frames move by a pixel because the matched camera frames bounds that include the leaves. Matched stills at the 1440 rig, first fixed seed; pairs on disk under the ignored measure/pairs-round18/, recorded here by sha256
round19-fn54	19	2026-09-16	fn-54 on fn-53-beech-crown-limb-systems over round 18: the beech's architecture from B-BARE (R1), canopy.limbClumping 0.25 (R2), material.lobeShade 0.7 (R3), and the WIP that brought the leaf mass down (crown base 0.06, fullness 0.3, twig length ratio 0.23). The beech only. Matched stills at the 1440 rig, first fixed seed; pairs on disk under the ignored measure/pairs-round19/, recorded here by sha256
round20-fn48c	20	2026-09-15	fn-48.3 over round 15b: the silver birch states the fork height at half the bole again (stem_fork_height 0.5, the fork node at 0.96 m), and the fork is swept clean: the trunk run carries on into the upright stem and eases its girth into it over the fork's diameter, and the leaning stem leaves from a socket in its side; no other birch row changed. Matched stills at the 1440 rig, first fixed seed; pairs on disk under the ignored measure/pairs-fn48c/, recorded here by sha256
round21-integration	21	2026-09-16	The fn-34 integration branch at 080a6d17: birch round 15 over fn-36..fn-52, then fn-48.3's clean fork and fn-40's smooth bark with the owner's lobed lichen. The birch only; the beech is untouched since round 17 and re-measures identically. Matched stills at the 1440 rig, first fixed seed; pairs on disk under the ignored measure/pairs-round21/, recorded here by sha256
round22-ships	22	2026-09-16	fn-34-integration at 4e6d903c, fn-54 merged: what the branch ships. The birch's stills are byte-identical to round 21's; the beech is fn-54's tree under fn-40's bark. Matched stills at the 1440 rig, first fixed seed; pairs under the ignored measure/pairs-round22/, recorded here by sha256. Judged on https://claude.ai/artifact/Pu1s9YB9TfnFWLxmbu2dVt
round24-birch-bark	24	2026-09-16	The birch's bark answers the owner's round-22 note with nine birch material rows, and S-BARK's camera returns to the metre and a half its record states. Stills under the ignored measure/pairs-round24/, recorded by sha256; the numeric protocol is round 22's, since material rows do not reach it.
round25-birch-leaf	25	2026-09-16	Round 24's birch with its leaf shaped by value rows against S-LEAF. Protocol in measure/protocol-round25/ (48/48, none capped).
round26-birch-crown	26	2026-09-17	The birch's crown answers the owner's round-26 verdict on the live renderer. Four rows of the value table move and nothing else: two limbs a station instead of four, leaving at 45 degrees from vertical instead of 62, and a twig layer of seven laterals at 0.55 of the parent's length instead of eight at 0.6. At seed 1 that is 82 primary limbs against 174, 13 of them in the lower crown against 27, 33,526 branches against 54,512, and 373 square metres of leaf against 583; S-WHOLE's centre reads 82.2 where the photograph reads 83.0 and the round-25 still read 70.8. The leaf spacing was re-read against that centre and left alone, and the leaf still is byte-identical to round 25's, so S-LEAF's and S-SHOOT's pairs are round 25's, unmoved. The fork ring at the base and the flat-ended limbs are not this round's: they are fn-48.3's and fn-4's. Protocol in measure/protocol-round26/ (48/48, none capped); pairs in measure/pairs-round26/; the two views the matched cameras never framed, S-FORK from two metres with the leaves hidden and S-UNDER from human eye height inside the lower crown, beside the matched stills in measure/protocol-round26/. Stills stay on the ignored measure/ directory, recorded here by sha256.
